År,Årsmedelvarden
1756.0,4.7374316939890715
1757.0,5.759726027397261
1758.0,4.583835616438356
1759.0,6.162465753424658
1760.0,5.096174863387978
1761.0,6.424657534246576
1762.0,5.692602739726028
1763.0,4.9361643835616436
1764.0,6.17103825136612
1765.0,5.705205479452055
1766.0,6.436986301369863
1767.0,5.117534246575342
1768.0,5.133879781420765
1769.0,5.272602739726027
1770.0,5.596712328767123
1771.0,4.652328767123287
1772.0,5.03087431693989
1773.0,7.345205479452055
1774.0,5.195068493150685
1775.0,7.633698630136987
1776.0,6.210655737704918
1777.0,5.289041095890411
1778.0,5.626027397260274
1779.0,7.734246575342466
1780.0,5.598633879781421
1781.0,6.51041095890411
1782.0,4.750958904109589
1783.0,6.821917808219178
1784.0,4.249180327868853
1785.0,4.4150684931506845
1786.0,4.220821917808219
1787.0,5.539178082191781
1788.0,4.431967213114754
1789.0,6.783013698630137
1790.0,6.1265753424657525
1791.0,7.388493150684932
1792.0,5.704371584699454
1793.0,6.270410958904109
1794.0,7.566301369863013
1795.0,4.693424657534246
1796.0,6.204371584699454
1797.0,6.761369863013699
1798.0,6.885753424657535
1799.0,4.053424657534246
1800.0,4.917808219178082
1801.0,5.8032876712328765
1802.0,5.472328767123288
1803.0,4.655616438356164
1804.0,4.674863387978142
1805.0,3.9868493150684934
1806.0,5.311506849315069
1807.0,5.481643835616438
1808.0,5.277868852459017
1809.0,4.668219178082192
1810.0,5.037260273972603
1811.0,6.577260273972602
1812.0,3.937704918032787
1813.0,5.725205479452054
1814.0,4.275890410958905
1815.0,5.738356164383561
1816.0,4.844262295081967
1817.0,5.584657534246576
1818.0,6.5819178082191785
1819.0,6.910958904109589
1820.0,4.636338797814208
1821.0,5.501369863013698
1822.0,7.545479452054794
1823.0,5.655342465753424
1824.0,6.574863387978143
1825.0,6.195890410958904
1826.0,7.178630136986301
1827.0,5.8252054794520545
1828.0,5.330874316939891
1829.0,3.4553424657534246
1830.0,4.944657534246575
1831.0,5.35068493150685
1832.0,5.447267759562842
1833.0,5.701095890410959
1834.0,6.64958904109589
1835.0,5.471232876712329
1836.0,4.911748633879782
1837.0,4.730410958904109
1838.0,3.8232876712328765
1839.0,5.1915068493150685
1840.0,5.162295081967214
1841.0,5.568767123287671
1842.0,6.3553424657534245
1843.0,5.694246575342466
1844.0,4.009289617486339
1845.0,4.999452054794521
1846.0,6.412602739726027
1847.0,5.44958904109589
1848.0,5.56639344262295
1849.0,4.989041095890411
1850.0,5.323013698630137
1851.0,5.947945205479452
1852.0,5.957377049180328
1853.0,5.469315068493151
1854.0,6.429315068493151
1855.0,4.826301369863013
1856.0,4.584699453551913
1857.0,6.644931506849315
1858.0,6.941917808219179
1859.0,6.625205479452054
1860.0,4.917213114754098
1861.0,5.528219178082192
1862.0,4.646027397260274
1863.0,6.747397260273973
1864.0,4.5396174863387975
1865.0,5.482739726027398
1866.0,5.388493150684932
1867.0,3.2309589041095887
1868.0,6.433333333333333
1869.0,5.595616438356164
1870.0,5.08958904109589
1871.0,3.7726027397260276
1872.0,6.856010928961749
1873.0,6.3772602739726025
1874.0,5.9030136986301365
1875.0,4.186849315068494
1876.0,4.7633879781420765
1877.0,4.567397260273973
1878.0,6.027397260273973
1879.0,4.598630136986301
1880.0,5.473224043715847
1881.0,3.9027397260273973
1882.0,6.452602739726027
1883.0,5.727671232876712
1884.0,5.695355191256831
1885.0,4.838630136986301
1886.0,5.786301369863014
1887.0,5.744657534246576
1888.0,3.6830601092896176
1889.0,5.546027397260274
1890.0,6.047397260273973
1891.0,5.80876712328767
1892.0,4.715027322404372
1893.0,4.6627397260273975
1894.0,6.65013698630137
1895.0,5.352054794520548
1896.0,6.417213114754098
1897.0,6.044383561643835
1898.0,6.086301369863014
1899.0,5.331506849315068
1900.0,5.3024657534246575
1901.0,6.167397260273972
1902.0,3.8213698630136985
1903.0,6.009041095890411
1904.0,5.176229508196721
1905.0,5.991780821917808
1906.0,6.433972602739726
1907.0,5.326301369863013
1908.0,5.580054644808743
1909.0,4.980273972602739
1910.0,6.536986301369863
1911.0,6.727945205479451
1912.0,5.586885245901639
1913.0,6.5419178082191785
1914.0,7.072876712328767
1915.0,4.304931506849315
1916.0,5.493715846994536
1917.0,5.064931506849315
1918.0,5.9104109589041105
1919.0,5.176164383561644
1920.0,6.627049180327869
1921.0,6.558904109589041
1922.0,4.884109589041096
1923.0,4.84
1924.0,5.562568306010929
1925.0,5.981643835616439
1926.0,5.510410958904109
1927.0,5.44027397260274
1928.0,5.145355191256831
1929.0,5.418630136986301
1930.0,7.238630136986301
1931.0,4.846027397260274
1932.0,6.331693989071039
1933.0,6.0501369863013705
1934.0,7.808219178082192
1935.0,6.593150684931507
1936.0,6.699453551912568
1937.0,6.8712328767123285
1938.0,7.685479452054794
1939.0,6.766849315068494
1940.0,4.445081967213115
1941.0,4.332876712328767
1942.0,4.075342465753424
1943.0,7.272602739726027
1944.0,6.639071038251366
1945.0,6.486301369863014
1946.0,6.183835616438356
1947.0,5.736164383561643
1948.0,6.5431693989071045
1949.0,7.492328767123287
1950.0,6.490684931506849
1951.0,6.406849315068493
1952.0,5.139344262295082
1953.0,7.172328767123288
1954.0,5.7586301369863016
1955.0,5.527945205479452
1956.0,4.49344262295082
1957.0,5.856712328767123
1958.0,5.197260273972603
1959.0,7.096164383561644
1960.0,5.897540983606557
1961.0,6.872876712328767
1962.0,5.006849315068493
1963.0,5.314246575342466
1964.0,6.022950819672132
1965.0,5.022191780821918
1966.0,5.0698630136986305
1967.0,6.367671232876712
1968.0,5.815300546448087
1969.0,5.718904109589041
1970.0,4.7813698630136985
1971.0,6.161369863013699
1972.0,6.865573770491804
1973.0,6.646027397260275
1974.0,6.907123287671233
1975.0,7.71068493150685
1976.0,5.483333333333333
1977.0,5.697808219178082
1978.0,5.223561643835616
1979.0,5.244657534246575
1980.0,5.292622950819672
1981.0,5.297534246575342
1982.0,6.3024657534246575
1983.0,6.803561643835617
1984.0,6.613387978142076
1985.0,4.067397260273973
1986.0,5.467671232876713
1987.0,4.2405479452054795
1988.0,6.248633879781421
1989.0,7.711780821917809
1990.0,7.6309589041095895
1991.0,6.6446575342465755
1992.0,7.212295081967213
1993.0,6.310958904109589
1994.0,6.636438356164384
1995.0,6.415616438356164
1996.0,5.702185792349726
1997.0,7.018356164383561
1998.0,6.156986301369863
1999.0,7.496438356164383
2000.0,7.728415300546448
2001.0,6.848493150684931
2002.0,7.359726027397261
2003.0,7.005753424657534
2004.0,6.850273224043716
2005.0,7.205479452054795
2006.0,7.718904109589041
2007.0,7.426027397260274
2008.0,7.7636612021857925
2009.0,6.933972602739726
2010.0,5.257260273972603
2011.0,7.770136986301369
2012.0,6.478688524590163
2013.0,7.070136986301369
2014.0,8.06082191780822
2015.0,7.956164383561644
2016.0,7.408743169398907
2017.0,7.225479452054795
2018.0,8.123287671232877
2019.0,7.817534246575343
2020.0,8.98551912568306
2021.0,7.376986301369863
2022.0,8.048767123287671
2023.0,7.247123287671233
